종목,시세,등락률,시가총액,거래량
한전기술,"64,000",-0.16,"24,461","162,980"
CJ,"83,500",0.85,"24,363","41,165"
서울가스,"483,500",0.73,"24,175","6,266"
한화시스템,"12,580",-8.38,"23,766","2,720,680"
휠라홀딩스,"39,000",-0.64,"23,693","183,592"
제일기획,"20,200",-0.49,"23,238","420,630"
LG화학우,"300,000",-1.32,"23,066","11,611"
금양,"39,500",1.41,"22,930","8,925,722"
한미사이언스,"32,700",-1.36,"22,876","104,296"
두산퓨얼셀,"34,750",-1.42,"22,759","189,510"
한솔케미칼,"199,800",-3.01,"22,648","69,014"
OCI,"93,900",-3.20,"22,395","286,170"
농심,"368,000",1.66,"22,384","15,723"
KCC,"251,000",-2.71,"22,305","43,709"
현대차우,"91,800",-1.18,"22,136","33,931"
BNK금융지주,"6,770",-0.29,"22,066","742,510"
코스모신소재,"71,800",1.13,"22,007","475,536"
HL만도,"46,650",0.11,"21,905","143,049"
LS,"67,800",-1.31,"21,832","83,874"
TIGER 미국나스닥100,"70,870",0.40,"21,346","50,918"
에스원,"56,000",-0.36,"21,280","38,494"
TIGER MSCI Korea TR,"13,365",-0.82,"21,264","72,194"
한화,"27,450",-0.18,"20,576","83,385"
대성홀딩스,"127,700",-1.84,"20,546","51,951"
DB하이텍,"46,200",-1.81,"20,512","493,364"
신세계,"206,500",-0.48,"20,330","77,462"
KODEX 200TR,"10,800",-0.87,"20,056","97,476"
삼천리,"494,500",1.23,"20,052","21,460"
효성티앤씨,"461,500",-1.81,"19,972","25,608"
GS건설,"23,250",-3.33,"19,898","783,226"
동서,"19,680",-1.11,"19,621","62,956"
영원무역,"44,100",-1.78,"19,541","55,410"
TIGER 200,"32,120",-0.80,"19,433","527,361"
KODEX 레버리지,"14,945",-1.84,"19,107","20,839,617"
CJ대한통운,"83,300",-0.60,"19,003","35,871"
대우건설,"4,535",-1.31,"18,848","713,627"
효성첨단소재,"417,500",-2.11,"18,704","25,709"
대한전선,"1,501",-1.96,"18,680","10,750,559"
JB금융지주,"9,290",0.43,"18,300","423,608"
TIGER 미국S&P500,"13,100",0.46,"18,170","1,084,034"
오뚜기,"446,500",-0.22,"17,895","1,857"
현대두산인프라코어,"8,880",-1.33,"17,561","2,442,760"
하이트진로,"24,850",0.00,"17,428","83,597"
솔루스첨단소재,"48,950",-1.71,"17,187","382,034"
LIG넥스원,"77,300",3.20,"17,006","332,686"
쌍용차,"8,760",0.00,"16,377",-
롯데칠성,"170,100",-0.58,"15,783","20,490"
TIGER 미국필라델피아반도체나스닥,"10,400",1.36,"15,522","658,950"
