종목,시세,등락률,시가총액,거래량
대한제분,"152,300",-0.07,"2,574","3,640"
삼익THK,"12,230",-1.13,"2,568","28,396"
테이팩스,"54,300",-2.16,"2,562","26,139"
엘브이엠씨홀딩스,"2,575",2.39,"2,561","616,610"
알루코,"2,840",-1.39,"2,555","463,293"
스틱인베스트먼트,"6,120",-2.39,"2,551","160,903"
동화약품,"9,090",-0.87,"2,539","67,469"
자이에스앤디,"6,540",-2.39,"2,536","150,231"
AJ네트웍스,"5,370",-1.65,"2,514","444,275"
금호건설,"6,800",-1.45,"2,513","63,762"
대한제당,"2,800",-2.44,"2,512","147,853"
사조대림,"27,250",0.00,"2,497","8,815"
KBSTAR 코스피,"25,230",-0.49,"2,485","57,067"
HLB글로벌,"5,860",-3.14,"2,483","241,777"
대교,"2,925",-3.62,"2,478","102,775"
삼성출판사,"24,750",-0.40,"2,475","65,947"
KODEX K-메타버스액티브,"8,490",-1.22,"2,458","117,051"
이엔플러스,"4,210",1.20,"2,456","2,143,000"
금호석유우,"80,800",0.12,"2,443","9,500"
에스엠벡셀,"2,195",-0.90,"2,442","162,460"
KPX케미칼,"49,500",0.51,"2,396","1,282"
흥국화재,"3,725",0.95,"2,393","101,205"
TIGER 차이나CSI300,"9,995",-1.24,"2,389","100,065"
삼영무역,"12,930",-0.15,"2,388","6,223"
KODEX 은행,"6,640",-0.08,"2,370","205,026"
TIGER 리츠부동산인프라,"4,825",0.63,"2,362","488,386"
KBSTAR 미국나스닥100,"11,780",0.30,"2,356","47,383"
AK홀딩스,"17,770",-0.17,"2,354","10,997"
미원홀딩스,"101,400",0.40,"2,352","1,135"
하이트진로홀딩스,"10,130",-0.88,"2,351","15,140"
선진,"9,870",-0.60,"2,347","33,956"
디앤디플랫폼리츠,"3,630",1.97,"2,338","90,507"
교촌에프앤비,"9,280",-0.96,"2,318","15,248"
TIGER 코스피,"25,325",-0.47,"2,305","8,438"
대덕,"6,800",0.15,"2,305","43,148"
KPX홀딩스,"54,400",-1.63,"2,298",642
사조산업,"45,750",-2.45,"2,288","10,964"
한독,"16,550",-0.54,"2,278","19,501"
SOL 종합채권(AA-이상)액티브,"100,560",0.33,"2,271",146
성신양회,"9,200",-2.85,"2,255","138,291"
이월드,"1,586",-1.73,"2,249","193,969"
KODEX 반도체,"26,050",-0.57,"2,240","110,563"
KBSTAR ESG사회책임투자,"10,365",-0.96,"2,239","4,083"
동성케미컬,"4,505",-0.66,"2,239","40,385"
백광산업,"4,970",0.61,"2,232","258,877"
그린케미칼,"9,270",-0.64,"2,225","120,359"
신한서부티엔디리츠,"3,975",-0.25,"2,224","45,761"
아모레G3우(전환),"30,900",0.00,"2,191","4,172"
JW홀딩스,"3,100",-1.59,"2,184","64,469"
화승인더,"3,930",-0.25,"2,174","47,882"
삼성 인버스 2X WTI원유 선물 ETN,145,0.00,"2,171","5,830,378"
넥센,"4,045",-0.25,"2,166","10,381"
LS전선아시아,"7,020",-0.85,"2,150","103,827"
TRUE 인버스 2X 천연가스 선물 ETN(H),"1,450",-12.91,"2,146","1,720,792"
대창단조,"7,500",-2.34,"2,143","402,209"
SOL 200TR,"11,300",-0.31,"2,136",898
현대차3우B,"88,800",-0.45,"2,135","6,047"
현대코퍼레이션,"16,110",-1.29,"2,131","19,888"
경동인베스트,"89,800",2.86,"2,124","102,692"
경농,"10,810",-1.73,"2,110","23,397"
CJ제일제당 우,"157,600",-0.63,"2,092","3,040"
KSS해운,"9,060",-0.22,"2,092","30,114"
에이프로젠바이오로직스,356,-1.93,"2,085","2,799,065"
GS글로벌,"2,525",-1.75,"2,084","564,250"
백산,"8,890",0.45,"2,082","250,704"
대원강업,"3,350",-1.76,"2,077","82,581"
HDC랩스,"8,000",-0.74,"2,077","5,270"
TIGER KRX BBIG K-뉴딜,"6,975",-1.27,"2,075","191,814"
KBSTAR 미국S&P500,"11,440",0.57,"2,071","26,695"
포스코스틸리온,"34,500",-2.82,"2,070","33,285"
부국증권,"19,940",1.99,"2,068","3,696"
태림포장,"2,920",-2.01,"2,068","99,778"
S-Oil우,"50,800",0.20,"2,043","4,271"
두산우,"50,900",0.59,"2,034","3,377"
일진홀딩스,"4,120",-2.14,"2,033","198,003"
쎌마테라퓨틱스,"6,410",0.00,"2,032",-
TIGER Fn메타버스,"8,360",-2.11,"2,031","308,340"
ARIRANG 코스피TR,"12,770",-0.66,"2,030","9,339"
KODEX 국고채3년,"57,000",0.19,"2,026","5,364"
삼성전기우,"69,400",-1.00,"2,017","2,984"
KBSTAR 200TR,"17,005",-0.90,"2,015","17,811"
한신기계,"6,190",-2.21,"2,008","280,250"
ACE 단기통안채,"100,700",0.01,"1,985","1,267"
해태제과식품,"6,800",-0.58,"1,980","18,526"
제일파마홀딩스,"12,390",-0.96,"1,979","8,726"
진흥기업,"1,351",-3.43,"1,965","891,171"
한세예스24홀딩스,"4,900",-1.41,"1,960","22,848"
에이블씨엔씨,"7,240",-2.29,"1,957","50,015"
JW생명과학,"12,230",-1.21,"1,937","12,746"
LS네트웍스,"2,455",-2.19,"1,935","32,935"
제이에스코퍼레이션,"14,500",-0.14,"1,934","33,797"
KODEX 골드선물(H),"11,970",-0.29,"1,927","73,210"
대성산업,"4,245",2.29,"1,920","192,925"
서연,"8,140",-0.61,"1,911","398,688"
한솔테크닉스,"5,910",-1.50,"1,898","40,876"
삼영전자,"9,400",-1.47,"1,880","44,357"
TIGER 차이나과창판STAR50(합성),"7,470",0.13,"1,879","27,197"
예스코홀딩스,"31,300",0.16,"1,878","3,195"
경인양행,"4,500",-1.42,"1,873","44,377"
코람코더원리츠,"4,620",0.00,"1,866","32,970"
태경산업,"6,370",-0.93,"1,862","58,243"
만호제강,"44,800",0.90,"1,859","14,654"
KBSTAR 국고채3년선물인버스,"105,680",-0.04,"1,859",4
TIGER 중장기국채,"48,395",0.21,"1,858","2,472"
LG우,"61,400",-0.32,"1,855","4,622"
유수홀딩스,"7,110",-0.28,"1,852","38,651"
신세계푸드,"47,700",0.21,"1,847","5,532"
STX중공업,"6,460",-0.31,"1,845","198,163"
이지스밸류리츠,"5,000",-0.20,"1,837","68,087"
일진전기,"4,920",-1.50,"1,824","85,249"
아남전자,"2,365",-2.67,"1,824","1,868,998"
삼성제약,"2,710",-0.55,"1,820","89,859"
동아지질,"12,920",-4.08,"1,816","42,775"
현대리바트,"8,800",-1.46,"1,807","35,011"
DB금융투자,"4,225",-1.05,"1,793","17,387"
아시아나IDT,"16,140",0.31,"1,792","30,910"
진양홀딩스,"3,175",0.16,"1,775","12,556"
신라교역,"11,060",-0.27,"1,770","10,193"
동남합성,"49,000",-1.11,"1,769","1,459"
ARIRANG 고배당주,"12,150",-0.21,"1,768","28,937"
KTcs,"4,100",-4.32,"1,750","6,514,167"
세종공업,"6,280",-3.83,"1,747","169,835"
계룡건설,"19,500",-1.52,"1,742","16,226"
KBSTAR KIS국고채30년Enhanced,"71,625",1.45,"1,733","60,585"
대한화섬,"130,400",0.46,"1,732",367
우진,"8,520",-2.41,"1,732","208,312"
현대비앤지스틸,"11,460",-4.10,"1,728","102,118"
ACE 베트남VN30(합성),"16,355",-0.34,"1,717","482,390"
금강공업,"5,850",-2.34,"1,716","273,634"
TIGER 여행레저,"4,245",-0.70,"1,690","333,789"
HANARO MSCI Korea TR,"13,365",-0.48,"1,684",50
ACE 중국본토CSI300,"27,235",-0.86,"1,683","3,335"
NI스틸,"5,880",0.00,"1,682","203,326"
동성제약,"6,440",-0.31,"1,681","51,291"
KOSEF 단기자금,"101,860",0.01,"1,679","9,555"
휴비스,"4,845",-0.41,"1,672","20,486"
금호에이치티,852,-1.39,"1,671","855,989"
태영건설,"4,295",-2.16,"1,671","266,402"
NH투자증권우,"8,830",-0.34,"1,666","18,951"
동아타이어,"12,070",2.64,"1,658","66,151"
KB 블룸버그 인버스2X 천연가스선물 ETN(H),"66,155",-12.98,"1,654","3,266"
대영포장,"1,524",-0.72,"1,652","188,086"
KODEX 미국나스닥100레버리지(합성 H),"4,725",-0.42,"1,647","544,371"
경보제약,"6,880",-0.58,"1,645","61,746"
신한 블룸버그 -2X 천연가스 선물 ETN(H),"65,730",-13.30,"1,643","6,372"
효성ITX,"14,210",-1.93,"1,642","17,369"
동부건설,"7,150",-1.79,"1,636","85,541"
일동홀딩스,"14,170",-3.14,"1,635","93,678"
삼성물산우B,"100,300",-0.59,"1,632","2,984"
한국주철관,"7,140",-1.24,"1,628","26,474"
한농화성,"10,410",-2.71,"1,628","63,007"
수산중공업,"3,005",-1.48,"1,622","669,777"
용평리조트,"3,370",1.05,"1,622","28,327"
한국패러랠,"2,020",0.00,"1,616","51,634"
미래에셋 S&P -2X 천연가스 선물 ETN(H),"64,495",-15.78,"1,612",474
한컴라이프케어,"5,820",0.34,"1,611","134,860"
삼화페인트,"5,920",-0.17,"1,610","29,355"
KBSTAR iSelect메타버스,"7,450",-1.84,"1,608","36,311"
TIGER 글로벌4차산업혁신기술(합성 H),"15,070",-0.43,"1,603","13,130"
퍼스텍,"3,330",-1.77,"1,600","515,596"
신원,"1,559",-1.76,"1,599","470,100"
인스코비,"1,426",-1.04,"1,597","505,644"
디씨엠,"13,950",-1.06,"1,590","18,197"
벽산,"2,315",-1.91,"1,587","149,205"
노루페인트,"7,910",-2.35,"1,582","61,125"
무학,"5,550",-1.77,"1,582","63,696"
KODEX TRF3070,"11,020",0.23,"1,576","18,954"
HANARO 200TR,"39,295",-0.83,"1,572",52
현대약품,"4,910",-2.00,"1,571","236,487"
KBSTAR IT플러스,"16,460",-0.72,"1,567","3,009"
TIGER 글로벌메타버스액티브,"6,385",-0.08,"1,549","24,276"
삼성 레버리지 천연가스 선물 ETN B,"2,380",15.25,"1,547","7,705,720"
디와이,"5,800",-2.03,"1,527","83,292"
ACE 23-12 회사채(AA-이상)액티브,"102,600",0.03,"1,522","52,053"
KODEX 23-12 국고채액티브,"10,115",0.00,"1,521","8,179"
삼양통상,"50,700",0.20,"1,521",816
NH올원리츠,"3,600",0.28,"1,519","64,608"
STX,"5,300",6.00,"1,517","1,784,866"
컨버즈,"4,100",0.00,"1,509",-
신일전자,"2,120",0.00,"1,506","324,837"
디아이,"5,250",0.00,"1,486","44,204"
성창기업지주,"2,120",-3.42,"1,479","255,229"
KTis,"4,225",-2.31,"1,470","3,997,801"
태경비케이,"5,320",-1.12,"1,467","286,373"
세아특수강,"17,110",-2.45,"1,466","43,632"
한솔홀딩스,"3,490",0.58,"1,466","96,860"
태경케미컬,"12,610",-0.32,"1,463","71,087"
팜스코,"3,980",-1.00,"1,462","57,934"
KODEX 차이나항셍테크,"5,860",-1.35,"1,456","188,233"
SNT에너지,"19,330",-3.59,"1,451","51,104"
TIGER 200선물인버스2X,"3,065",2.00,"1,437","6,354,512"
디아이씨,"3,690",-3.40,"1,435","236,544"
KODEX 미국달러선물,"11,730",0.60,"1,433","120,550"
샘표,"49,700",-1.78,"1,429","9,420"
샘표식품,"31,200",-0.64,"1,425","7,962"
KODEX 장기종합채권(AA-이상)액티브KAP,"87,270",0.47,"1,423",125
미원화학,"64,200",0.00,"1,412",501
TIGER 미국MSCI리츠(합성 H),"12,625",-0.08,"1,408","62,626"
신흥,"14,800",-0.20,"1,406","4,544"
강남제비스코,"21,600",-1.14,"1,404","7,744"
경동도시가스,"23,800",0.42,"1,403","18,591"
한국수출포장,"34,950",-2.92,"1,398","34,991"
센트랄모텍,"16,190",-1.88,"1,394","99,047"
한국석유,"10,780",-1.10,"1,368","66,957"
한국화장품제조,"30,150",-1.47,"1,366","37,129"
TIGER 코스닥150,"11,490",-0.95,"1,360","47,440"
종근당바이오,"24,750",0.00,"1,358","7,233"
일성건설,"2,505",-2.91,"1,353","226,401"
광전자,"2,335",-0.85,"1,353","46,059"
한국공항,"42,700",0.83,"1,352","4,076"
노루홀딩스,"10,170",-0.29,"1,352","10,993"
KCTC,"4,500",-2.60,"1,350","115,116"
사조동아원,951,-1.65,"1,342","831,049"
두산퓨얼셀1우,"10,030",-0.59,"1,340","7,654"
TIGER 반도체,"27,175",-0.24,"1,337","43,359"
웅진,"1,672",-2.73,"1,336","1,045,459"
조흥,"222,000",-0.89,"1,332",55
디와이파워,"12,050",-2.98,"1,331","48,728"
TIGER 투자등급회사채액티브,"102,460",0.14,"1,322",163
HDC현대EP,"4,125",-0.36,"1,316","26,853"
한국화장품,"8,130",-1.57,"1,306","33,492"
TIGER 중국소비테마,"7,250",-0.62,"1,305","103,783"
한국특강,"2,150",-1.15,"1,303","46,704"
황금에스티,"7,600",-0.78,"1,292","188,951"
TIGER 헬스케어,"25,425",-0.86,"1,287","33,302"
TIGER 현대차그룹+펀더멘털,"22,525",-1.18,"1,284","21,738"
TRUE 코스피 양매도 5% OTM ETN,"8,550",-0.06,"1,283",3
조선선재,"101,300",-0.59,"1,274","4,489"
TIGER 23-12 국공채액티브,"202,515",0.07,"1,272",104
유화증권,"2,240",-1.10,"1,270","13,245"
극동유화,"3,605",-0.41,"1,257","106,876"
미창석유,"71,700",0.00,"1,247",260
CJ씨푸드,"3,465",-1.84,"1,245","261,823"
미래에셋 코스피 양매도 5% OTM ETN,"8,250",0.00,"1,238",-
유니온머티리얼,"2,940",0.68,"1,235","1,574,631"
동방,"2,570",-1.72,"1,233","322,016"
SK이노베이션우,"98,100",-0.91,"1,225","5,317"
동양철관,"1,025",-1.54,"1,219","553,039"
ARIRANG 국고채30년액티브,"95,285",0.94,"1,213",2
한국내화,"2,940",-2.00,"1,207","35,304"
KODEX 배당가치,"12,055",-0.70,"1,206",359
TRUE 블룸버그 인버스 2X 천연가스선물 ETN,"60,085",-12.41,"1,202","5,045"
대신증권2우B,"11,960",-0.08,"1,196","5,290"
KODEX 미국채울트라30년선물(H),"8,765",0.92,"1,183","436,113"
대창,"1,297",-1.97,"1,182","408,164"
삼익악기,"1,304",-0.91,"1,181","172,760"
한진중공업홀딩스,"3,970",0.00,"1,172","42,435"
인천도시가스,"26,750",-0.93,"1,170","3,860"
TIGER 미디어컨텐츠,"7,475",-2.16,"1,166","108,976"
KBSTAR 코스닥150,"11,120",-0.85,"1,161","1,820"
KBSTAR 국채선물5년추종인버스,"54,215",-0.17,"1,158",33
삼원강재,"2,895",0.70,"1,158","25,859"
세이브존I&C,"2,820",-1.57,"1,157","27,934"
TIGER 종합채권(AA-이상)액티브,"49,680",0.39,"1,156","30,005"
한양증권,"9,060",-0.66,"1,153","11,418"
인지컨트롤스,"7,200",-1.37,"1,138","63,899"
이지스레지던스리츠,"4,010",0.12,"1,137","5,928"
KODEX 미국나스닥100선물(H),"15,015",-0.13,"1,134","88,224"
CJ우,"50,100",0.00,"1,132",459
미래에셋글로벌리츠,"3,860",0.65,"1,122","16,250"
크라운제과,"8,860",0.11,"1,110","22,661"
기신정기,"3,755",-0.13,"1,096","34,458"
KTOP K200액티브,"9,870",-0.90,"1,096","74,215"
KH 필룩스,587,-5.32,"1,095","4,956,655"
삼일제약,"7,960",-1.73,"1,092","94,214"
SG세계물산,539,-2.71,"1,091","790,805"
한화솔루션우,"38,050",5.69,"1,090","93,058"
모나리자,"2,965",-2.79,"1,084","781,011"
깨끗한나라,"2,905",0.69,"1,082","1,144,818"
인바이오젠,765,-1.80,"1,078","364,072"
에이플러스에셋,"4,730",-0.73,"1,069","30,538"
대양금속,"3,205",-3.75,"1,069","416,018"
크라운해태홀딩스,"7,200",-0.69,"1,069","18,889"
대구백화점,"9,830",-3.25,"1,064","2,155"
화성산업,"10,470",-0.48,"1,063","11,630"
와이투솔루션,666,-2.49,"1,061","1,354,557"
키움 INDXX 미국테크탑10 ETN,"10,595",0.28,"1,060",2
KODEX 삼성그룹밸류,"8,865",-0.67,"1,055","5,664"
유유제약,"6,110",-0.49,"1,053","36,551"
HL D&I,"2,780",-0.89,"1,052","24,515"
고려산업,"4,220",-3.21,"1,052","1,657,597"
대유플러스,869,-2.25,"1,051","1,001,357"
KBSTAR 25-11 회사채(AA-이상)액티브,"52,625",0.07,"1,046","4,425"
삼화전기,"15,800",-0.82,"1,045","11,207"
토니모리,"4,340",-0.91,"1,044","70,044"
KODEX ESG종합채권(A-이상)액티브,"102,590",0.27,"1,040",1
가온전선,"16,330",-0.73,"1,038","15,789"
이구산업,"3,100",-2.97,"1,037","962,196"
마스턴프리미어리츠,"3,890",-0.13,"1,034","14,379"
KODEX 차이나CSI300,"12,415",-1.62,"1,030","132,518"
삼영화학,"3,030",-0.33,"1,030","305,962"
지투알,"6,180",-0.32,"1,024","30,728"
무림페이퍼,"2,460",-1.40,"1,024","144,597"
한신공영,"8,840",-3.70,"1,023","101,097"
히어로즈 단기채권ESG액티브,"101,140",0.00,"1,022",-
엔에이치스팩19호,"1,985",0.00,"1,018","102,217"
팜젠사이언스,"6,410",-1.84,"1,015","113,359"
보락,"1,693",-1.57,"1,014","442,438"
광명전기,"2,335",-2.71,"1,012","446,399"
신영와코루,"11,220",0.00,"1,010",659
현대코퍼레이션홀딩스,"11,050",-2.13,"1,006","8,523"
콤텍시스템,824,0.12,997,"2,615,930"
TRUE 레버리지 S&P500 선물 ETN(H),"19,835",-0.10,992,47
TIGER 미국채10년선물,"11,385",0.80,990,"41,259"
일신석재,"1,276",-1.47,988,"487,936"
남광토건,"10,030",-1.67,986,"26,705"
KODEX 미국S&P500선물(H),"19,070",0.00,982,"45,688"
대현,"2,215",-2.42,981,"224,019"
대원화성,"2,375",1.50,980,"244,428"
대동전자,"9,310",-3.32,977,"29,898"
세원이앤씨,452,-2.59,976,"4,534,257"
이아이디,840,-1.18,972,"317,295"
플레이그램,814,0.49,969,"386,473"
동일고무벨트,"6,930",0.00,963,"31,447"
조광페인트,"7,520",-3.34,963,"52,848"
사조씨푸드,"5,590",-0.89,963,"74,248"
인팩,"9,620",-0.10,962,"86,200"
써니전자,"2,760",-1.95,962,"1,146,420"
SH에너지화학,860,-0.46,956,"483,712"
국제약품,"4,690",-2.60,947,"118,476"
아모레G우,"14,650",-0.88,944,"3,999"
DSR,"5,900",-2.96,944,"53,387"
ACE 국고채10년,"86,410",0.42,944,"4,737"
지엠비코리아,"4,945",0.10,943,"27,384"
삼호개발,"3,755",-1.70,939,"15,553"
명문제약,"2,760",-0.54,937,"52,637"
새론오토모티브,"4,870",1.78,935,"1,498"
TRUE 레버리지 나스닥 100 ETN,"18,610",0.40,931,"2,612"
SK우,"163,700",-0.73,927,"1,540"
다스코,"4,750",-1.86,921,"262,919"
보해양조,662,-0.15,921,"253,279"
금비,"92,000",-2.65,920,"9,422"
두올,"2,780",-1.24,919,"142,375"
KODEX 차이나과창판STAR50(합성),"7,610",0.20,913,"5,079"
남성,"2,520",-2.70,913,"487,824"
솔루스첨단소재1우,"10,780",-4.52,911,"25,123"
하이스틸,"4,510",-4.65,911,"1,114,332"
제일연마,"9,100",0.55,910,"5,863"
DRB동일,"4,515",-1.63,900,"13,942"
유니온,"5,760",-0.69,899,"504,218"
삼성공조,"11,060",-5.06,899,"196,774"
혜인,"7,060",-2.62,898,"353,415"
텔코웨어,"9,250",-0.96,898,"12,628"
유니켐,"1,210",-0.82,897,"84,637"
한솔홈데코,"1,113",-2.11,897,"354,577"
동방아그로,"6,570",-0.15,895,"11,213"
KBSTAR Fn5G테크,"8,310",-0.72,893,"4,154"
상상인증권,820,0.12,888,"143,384"
신세계건설,"22,200",-3.06,888,"37,805"
KBSTAR 코스닥150선물레버리지,"8,790",-1.79,886,"7,043"
유니드비티플러스,"8,340",-2.34,885,"240,407"
ACE 24-12 회사채(AA-이상)액티브,"104,340",0.14,873,"1,868"
휴니드,"6,170",-2.37,871,"82,333"
조비,"16,710",-1.99,868,"14,518"
범양건영,"3,485",-0.99,865,"135,555"
태평양물산,"1,779",1.37,865,"576,076"
TIGER 미국다우존스30,"21,405",0.30,865,"10,644"
시디즈,"43,100",0.12,862,"13,604"
한국프랜지,"2,825",2.17,860,"109,243"
신풍제약우,"39,000",-1.27,858,"3,558"
KBSTAR 단기국공채액티브,"104,235",0.04,858,124
덕양산업,"2,625",-0.94,855,"14,598"
쌍방울,325,-1.22,853,"1,720,048"
KODEX 미국메타버스나스닥액티브,"6,480",0.08,852,"14,483"
DSR제강,"5,900",-2.32,850,"136,353"
ACE G2전기차&자율주행액티브,"9,015",0.56,847,"28,633"
한창제지,"1,417",-0.28,845,"96,146"
코스맥스비티아이,"8,800",0.00,845,"2,413"
화승코퍼레이션,"1,688",1.99,845,"142,316"
한일철강,"3,160",-1.56,844,"52,276"
천일고속,"58,800",-1.01,840,164
마니커,"1,322",-2.00,840,"236,077"
대유에이텍,726,-1.89,838,"179,951"
TIGER 200 건설,"2,815",-1.92,836,"136,028"
큐로,361,1.12,835,"388,786"
유엔젤,"6,300",-4.40,831,"3,925,048"
갤럭시아에스엠,"3,010",0.33,829,"2,037,447"
신송홀딩스,"7,010",-1.13,829,"214,775"
이건산업,"7,550",-1.69,827,"46,233"
메타랩스,"3,320",0.15,827,"131,617"
신한 인버스 2X WTI원유 선물 ETN(H),130,-3.70,823,"2,714,364"
영흥,810,0.62,821,"92,566"
비상교육,"6,310",0.00,820,"18,447"
카프로,"2,050",-3.30,820,"387,494"
KBSTAR 2차전지액티브,"10,610",0.28,819,"325,365"
국동,"1,435",1.27,817,"385,624"
KBSTAR 미국단기투자등급회사채액티브,"9,890",0.76,816,"1,266"
한세엠케이,"2,690",0.94,810,"3,947"
호전실업,"8,300",-0.84,809,"36,012"
인터지스,"2,720",-0.73,809,"122,540"
삼화왕관,"37,550",-2.59,809,"5,975"
NH프라임리츠,"4,330",2.97,808,"17,029"
한솔로지스틱스,"2,920",-1.85,802,"126,305"
대원전선,"1,114",-0.98,802,"261,653"
진양산업,"6,150",-0.97,800,"24,758"
TIGER 200선물레버리지,"11,415",-1.81,799,"470,930"
오리엔트바이오,673,-0.30,798,"179,382"
덕성,"5,080",-1.55,797,"99,506"
SK케미칼우,"37,600",-1.05,795,"8,131"
우진플라임,"3,955",-0.25,791,"44,307"
인디에프,"1,118",-2.87,791,"855,644"
KODEX 은선물(H),"4,200",-1.75,785,"182,670"
까뮤이앤씨,"1,732",-1.87,782,"296,632"
사조오양,"8,290",-2.24,781,"14,809"
부산산업,"73,600",-1.08,777,"3,199"
서울식품,207,-0.48,776,"1,161,295"
IHQ,330,1.23,773,"970,107"
ACE 미국WideMoat가치주,"18,840",0.59,772,"5,226"
전방,"45,300",-8.02,761,"20,090"
유성기업,"2,900",0.69,752,"22,789"
화천기공,"34,200",1.79,752,"11,152"
미래에셋맵스리츠,"3,740",0.67,752,"18,454"
ARIRANG 신흥국MSCI(합성 H),"8,975",-1.27,743,"37,906"
화승알앤에이,"3,910",-3.69,743,"88,073"
KOSEF 인도Nifty50(합성),"18,110",0.33,743,"22,358"
CS홀딩스,"64,300",0.00,742,"1,089"
영보화학,"3,700",-0.94,740,"87,605"
KODEX WTI원유선물(H),"13,840",2.63,737,"181,808"
KODEX 국고채30년액티브,"99,105",0.82,733,"62,155"
KBSTAR 고배당,"11,635",-0.60,733,"9,326"
삼일씨엔에스,"5,740",-0.52,731,"21,594"
우성,"23,650",-1.05,731,"4,388"
상신브레이크,"3,400",0.44,730,"25,623"
문배철강,"3,560",-2.20,730,"229,845"
두산2우B,"81,600",-0.85,729,133
TIGER KRX바이오K-뉴딜,"5,535",-0.81,728,"249,960"
대호에이엘,"1,393",-3.60,724,"389,771"
HANARO 200 TOP10,"8,040",-0.92,724,143
한국종합기술,"6,590",-0.60,722,"101,231"
대우부품,"1,513",-1.18,721,"42,846"
엔케이,898,-1.32,718,"110,521"
세원정공,"7,180",-1.78,718,"14,596"
KODEX 미국반도체MV,"10,865",2.02,712,"25,324"
웰바이오텍,"1,070",-1.56,711,"221,728"
KODEX Fn Top10동일가중,"7,650",-1.10,704,"47,325"
KODEX K-신재생에너지액티브,"11,625",0.48,703,"24,440"
TIGER 소프트웨어,"9,765",-1.71,703,"96,396"
아센디오,831,-4.15,703,"144,993"
세하,"1,220",-1.93,702,"68,101"
SJM,"4,500",5.88,702,"731,320"
TIGER Fn반도체TOP10,"7,550",-1.69,702,"206,925"
부국철강,"3,510",-1.27,702,"248,375"
삼성 인버스 2X 코스닥150 선물 ETN,"13,995",1.86,700,"848,608"
TIGER 경기방어,"8,880",-0.39,700,773
KODEX 차이나2차전지MSCI(합성),"8,325",-0.60,699,"32,851"
KODEX 미국종합채권SRI액티브(H),"95,860",0.28,698,404
국보,653,-2.10,693,"567,723"
티에이치엔,"3,850",-1.16,693,"113,088"
성보화학,"3,460",-0.43,693,"16,172"
KC그린홀딩스,"3,070",-0.16,689,"29,703"
티웨이홀딩스,627,0.00,686,"148,378"
핸즈코퍼레이션,"3,135",0.16,685,"10,011"
KODEX Fn성장,"13,360",-0.82,681,40
미래산업,"14,830",0.14,679,"88,826"
KBSTAR 중국본토대형주CSI100,"18,330",-1.00,678,"5,952"
TIGER 차이나CSI300레버리지(합성),"20,995",-1.66,676,"12,837"
ACE 미국고배당S&P,"10,720",0.52,675,"68,389"
동양피스톤,"5,120",-1.16,674,"33,363"
모나미,"3,560",-0.14,673,"98,180"
KODEX 한국대만IT프리미어,"17,240",-1.00,672,"7,040"
HANARO e커머스,"12,220",-1.01,672,"12,031"
코오롱인더우,"24,150",-1.23,668,"2,916"
평화산업,"1,217",-1.38,668,"148,756"
파워 200,"32,575",-0.91,668,37
한창,836,-1.18,664,"757,479"
하나 블룸버그 -2X 천연가스 선물 ETN(H),"66,000",-12.29,660,"1,080"
메리츠 블룸버그 -2X 천연가스 선물 ETN(H),"65,985",-12.93,660,180
TRUE S&P500 선물 ETN,"13,180",-0.34,659,2
우신시스템,"3,595",1.27,658,"92,012"
신한 WTI원유 선물 ETN(H),"6,580",2.49,658,"2,562"
SOL 미국배당다우존스,"9,665",0.21,657,"563,218"
TIGER 200 중공업,"3,030",-0.33,653,"301,522"
TIGER 화장품,"2,390",-0.83,652,"717,330"
화천기계,"2,955",-2.31,650,"246,187"
신한 레버리지 은 선물 ETN(H),"6,415",-3.10,642,"54,780"
화인베스틸,"2,150",-3.15,640,"66,930"
삼정펄프,"25,600",0.39,640,890
SG글로벌,"1,421",-2.54,639,"94,346"
TIGER 국채3년,"106,285",0.16,638,286
TIGER 미국S&P500레버리지(합성 H),"24,045",-0.19,635,"6,268"
신한 레버리지 코스닥 150 선물 ETN,"25,305",-1.98,633,3
계양전기,"2,310",-0.86,629,"89,566"
GS우,"35,100",0.57,626,"3,823"
대림B&Co,"3,755",-1.44,626,"16,047"
한익스프레스,"5,190",1.17,623,"11,090"
미래아이앤지,446,-1.76,622,"4,556,808"
서원,"1,308",-0.61,621,"134,507"
유한양행우,"52,500",2.54,620,"1,750"
KODEX 국채선물10년,"63,500",0.40,613,"16,569"
KC코트렐,"1,772",-0.62,613,"332,902"
KBSTAR 금융채액티브,"101,090",0.18,610,41
에이엔피,"1,496",0.27,607,"56,050"
일진디스플,"1,172",-0.17,604,"90,499"
케이비아이동국실업,602,-0.50,604,"31,620"
미래에셋 전기전자 Core5 ETN,"30,115",0.62,602,1
미래에셋증권우,"4,275",-0.58,602,"6,911"
페이퍼코리아,"1,265",-3.07,602,"121,600"
대신 S&P 인버스 2X 천연가스 선물 ETN,"60,000",-12.32,600,307
TRUE 나스닥 100 ETN,"11,965",-0.13,598,4
KBSTAR Fn컨택트대표,"8,385",-0.83,594,470
TIGER 차이나HSCEI,"9,275",-1.17,594,"32,198"
KODEX 차이나A50,"19,760",-0.40,593,"1,627"
대림통상,"3,880",-0.26,591,"4,091"
ARIRANG 미국S&P500(H),"16,875",0.06,591,"14,270"
KB Wise 분할매매 ETN,"9,810",0.15,589,1
TRUE 인버스 2X 나스닥 100 ETN,"1,950",1.04,585,"804,790"
남양유업우,"349,000",0.43,582,589
