종목,시세,등락률,시가총액(억),거래량(백만)
롯데쇼핑,"86,600",-0.92,"24,498","23,854"
서울가스,"487,000",0.72,"24,350","7,172"
한전기술,"63,500",-0.78,"24,270","41,301"
CJ,"83,300",-0.24,"24,304","40,943"
한화시스템,"12,390",-1.51,"23,407","767,431"
휠라홀딩스,"38,250",-1.92,"23,238","107,127"
제일기획,"19,990",-1.04,"22,997","177,555"
금양,"39,450",-0.13,"22,901","2,773,970"
LG화학우,"293,000",-2.33,"22,528","15,612"
한솔케미칼,"197,800",-1,"22,421","31,176"
코스모신소재,"73,000",1.67,"22,375","546,279"
한미사이언스,"31,800",-2.75,"22,246","94,675"
두산퓨얼셀,"33,750",-2.88,"22,104","224,151"
농심,"364,000",-1.09,"22,141","6,251"
KCC,"248,000",-1.2,"22,038","17,129"
OCI,"92,100",-1.92,"21,965","114,703"
현대차우,"90,800",-1.09,"21,895","16,685"
BNK금융지주,"6,690",-1.18,"21,805","599,661"
HL만도,"46,250",-0.86,"21,718","118,461"
LS,"67,300",-0.74,"21,671","83,994"
에스원,"56,400",0.71,"21,432","56,022"
TIGER 미국나스닥100,"70,865",-0.01,"21,274","46,489"
TIGER MSCI Korea TR,"13,185",-1.35,"20,977","19,527"
대성홀딩스,"127,600",-0.08,"20,530","45,242"
한화,"27,050",-1.46,"20,276","98,866"
DB하이텍,"45,250",-2.06,"20,090","252,984"
삼천리,"494,000",-0.1,"20,032","15,301"
신세계,"203,000",-1.69,"19,986","70,545"
KODEX 200TR,"10,635",-1.53,"19,781","1,050,407"
효성티앤씨,"455,000",-1.41,"19,691","13,650"
TIGER 200,"31,665",-1.42,"19,458","568,568"
KODEX 레버리지,"14,500",-2.98,"19,350","21,850,165"
영원무역,"43,600",-1.13,"19,320","33,458"
GS건설,"22,550",-3.01,"19,299","431,022"
동서,"19,100",-2.95,"19,043","78,646"
CJ대한통운,"82,300",-1.2,"18,775","25,762"
대우건설,"4,450",-1.87,"18,495","521,914"
TIGER 미국S&P500,"13,150",0.38,"18,292","373,143"
대한전선,"1,466",-2.33,"18,244","6,167,281"
JB금융지주,"9,240",-0.54,"18,201","244,240"
효성첨단소재,"405,000",-2.99,"18,144","17,300"
오뚜기,"441,500",-1.12,"17,695","1,634"
현대두산인프라코어,"8,640",-2.7,"17,087","2,359,685"
하이트진로,"24,050",-3.22,"16,867","191,310"
두산,"99,700",10.29,"16,474","998,557"
솔루스첨단소재,"46,950",-4.09,"16,485","283,875"
LIG넥스원,"74,800",-3.23,"16,456","176,944"
쌍용차,"8,760",0,"16,377",-
롯데칠성,"168,900",-0.71,"15,672","7,046"
TIGER 미국필라델피아반도체나스닥,"10,390",-0.1,"15,523","514,201"
한미반도체,"15,880",0.19,"15,457","410,141"
LS ELECTRIC,"50,100",-0.79,"15,030","57,293"
롯데정밀화학,"58,200",-2.02,"15,016","31,797"
LX세미콘,"92,300",-2.33,"15,012","71,430"
현대일렉트릭,"41,250",3.25,"14,869","193,875"
현대위아,"54,500",-1.62,"14,821","100,829"
TIGER 미국테크TOP10 INDXX,"9,730",-0.41,"14,571","279,511"
한전KPS,"32,400",-1.97,"14,580","68,623"
효성,"67,500",-2.74,"14,223","39,322"
코스모화학,"39,550",6.89,"13,846","3,547,853"
녹십자,"118,200",-1.83,"13,813","26,169"
SK케미칼,"78,900",-2.95,"13,613","38,054"
대웅제약,"116,400",-2.35,"13,487","37,856"
아이에스동서,"43,600",0.11,"13,469","306,375"
동국제강,"13,840",-3.22,"13,208","303,006"
DGB금융지주,"7,780",-0.26,"13,160","239,259"
TIGER 2차전지테마,"22,125",1.35,"13,131","1,039,378"
덴티움,"118,300",0.94,"13,094","53,108"
DL이앤씨,"33,350",-2.63,"12,904","95,700"
현대백화점,"54,600",-1.27,"12,778","62,072"
KODEX 단기채권PLUS,"105,720",0.03,"12,752","188,413"
KODEX 2차전지산업,"22,635",0.89,"12,653","1,150,377"
코오롱인더,"45,400",-2.78,"12,494","54,837"
후성,"13,230",4.17,"12,483","2,152,852"
한국앤컴퍼니,"13,140",-2.16,"12,474","34,032"
GKL,"20,100",0.55,"12,433","198,409"
에스엘,"26,650",-1.3,"12,379","76,440"
LX인터내셔널,"31,900",-2.3,"12,364","218,855"
제주항공,"16,010",2.1,"12,327","249,130"
KODEX 삼성그룹,"8,920",-1.22,"12,229","61,754"
DL,"57,600",-1.2,"12,071","17,102"
KBSTAR 200,"31,855",-1.39,"11,977","445,959"
율촌화학,"47,650",1.38,"11,817","53,287"
SK가스,"127,400",0.87,"11,759","4,616"
코리안리,"8,170",2.13,"11,505","471,181"
영풍,"623,000",-2.66,"11,476","2,526"
롯데제과,"120,900",1.77,"11,406","7,700"
현대엘리베이,"27,700",-1.77,"11,306","42,414"
대한유화,"173,000",-3.84,"11,245","45,153"
동원시스템즈,"38,550",0,"11,176","34,454"
현대건설기계,"56,400",-2.08,"11,111","75,970"
솔루엠,"22,100",4.25,"11,051","207,670"
일진하이솔루스,"30,350",-3.8,"11,021","67,054"
KODEX 23-12 은행채(AA+이상)액티브,"10,195",0.05,"10,693","3,525"
한샘,"45,000",-1.64,"10,590","21,103"
TIGER 단기통안채,"102,625",0,"10,476","984,181"
아시아나항공,"13,970",-1.27,"10,395","122,579"
신풍제약,"19,610",-3.4,"10,390","346,017"
NHN,"28,700",-0.35,"10,337","38,268"
더존비즈온,"34,000",-2.02,"10,330","32,900"
풍산,"36,400",1.82,"10,201","184,157"
PI첨단소재,"34,550",-0.86,"10,146","64,738"
SK네트웍스,"4,085",-1.09,"10,138","436,932"
대덕전자,"20,500",-0.97,"10,130","168,285"
롯데관광개발,"13,810",-1.29,"10,138","322,919"
종근당,"79,700",-1.6,"10,017","12,896"
KODEX 인버스,"4,860",1.46,"9,997","17,850,348"
대웅,"17,160",-4.03,"9,977","66,808"
TIGER TOP10,"10,310",-1.43,"9,913","40,200"
SK리츠,"5,030",-1.37,"9,887","50,766"
오리온홀딩스,"15,770",-1.87,"9,879","41,652"
