종목,시세,등락률,시가총액(억),거래량(백만)
테이팩스,"54,200",-0.18,"2,557","24,888"
SNT홀딩스,"15,680",-1.07,"2,556","5,012"
자이에스앤디,"6,590",0.76,"2,556","64,169"
알루코,"2,840",0,"2,555","288,575"
무림P&P,"4,065",-1.81,"2,535","160,960"
NPC,"6,880",-2.13,"2,526","246,239"
스틱인베스트먼트,"6,040",-1.31,"2,517","83,177"
동화약품,"9,000",-0.99,"2,514","40,907"
삼성출판사,"24,900",0.61,"2,490","14,795"
대한제당,"2,765",-1.25,"2,480","94,582"
금호건설,"6,710",-1.32,"2,480","41,679"
AJ네트웍스,"5,290",-1.49,"2,477","168,765"
HLB글로벌,"5,820",-0.68,"2,466","127,795"
KBSTAR 코스피,"24,890",-1.35,"2,452","9,418"
사조대림,"26,650",-2.2,"2,442","10,600"
대교,"2,875",-1.71,"2,435","38,541"
흥국화재,"3,785",1.61,"2,432","119,586"
에스엠벡셀,"2,180",-0.68,"2,425","40,251"
금호석유우,"80,200",-0.74,"2,425","4,917"
KODEX K-메타버스액티브,"8,375",-1.35,"2,420","152,864"
KPX케미칼,"49,400",-0.2,"2,391",880
이엔플러스,"4,095",-2.73,"2,389","964,841"
TIGER 차이나CSI300,"10,025",0.3,"2,386","69,209"
삼영무역,"12,910",-0.15,"2,384","3,009"
KODEX 은행,"6,600",-0.6,"2,360","335,024"
KBSTAR 미국나스닥100,"11,785",0.04,"2,357","24,972"
선진,"9,900",0.3,"2,354","46,453"
미원홀딩스,"100,800",-0.59,"2,339",393
TIGER 리츠부동산인프라,"4,760",-0.52,"2,332","87,240"
디앤디플랫폼리츠,"3,620",-0.28,"2,331","28,035"
AK홀딩스,"17,570",-1.13,"2,328","2,254"
하이트진로홀딩스,"9,970",-1.58,"2,314","17,533"
사조산업,"46,250",1.09,"2,313","9,418"
대덕,"6,810",0.15,"2,308","23,919"
교촌에프앤비,"9,210",-0.75,"2,301","11,822"
KPX홀딩스,"54,100",-0.55,"2,286",227
이월드,"1,604",1.13,"2,275","97,940"
TIGER 코스피,"24,980",-1.36,"2,273","2,120"
백광산업,"5,060",1.81,"2,273","634,924"
SOL 종합채권(AA-이상)액티브,"100,220",-0.34,"2,263",6
한독,"16,320",-1.39,"2,246","11,267"
KODEX 반도체,"25,600",-1.73,"2,227","81,599"
동성케미컬,"4,470",-0.78,"2,221","53,677"
KBSTAR ESG사회책임투자,"10,245",-1.16,"2,213","34,780"
성신양회,"8,950",-2.72,"2,194","88,762"
신한서부티엔디리츠,"3,920",-1.38,"2,193","14,148"
그린케미칼,"9,120",-1.62,"2,189","85,420"
넥센,"4,055",0.25,"2,171","6,133"
삼성 인버스 2X WTI원유 선물 ETN,145,0,"2,171","2,324,218"
경동인베스트,"91,300",1.67,"2,159","80,130"
JW홀딩스,"3,065",-1.13,"2,159","19,063"
화승인더,"3,900",-0.76,"2,157","53,081"
LS전선아시아,"6,990",-0.43,"2,141","45,458"
현대차3우B,"88,200",-0.68,"2,121","11,220"
아모레G3우(전환),"29,900",-3.24,"2,121","2,687"
두산우,"52,600",3.34,"2,102","41,003"
현대코퍼레이션,"15,930",-1.12,"2,107","9,815"
대창단조,"7,340",-2.13,"2,097","274,332"
SOL 200TR,"11,070",-2.04,"2,092","2,441"
CJ제일제당 우,"157,000",-0.38,"2,084","2,818"
경농,"10,670",-1.3,"2,083","14,354"
KBSTAR 미국S&P500,"11,480",0.35,"2,078","17,450"
KSS해운,"9,000",-0.66,"2,078","21,744"
부국증권,"20,000",0.3,"2,074","1,244"
포스코스틸리온,"34,550",0.14,"2,073","14,160"
백산,"8,840",-0.56,"2,070","221,932"
HDC랩스,"7,930",-0.87,"2,058","3,502"
에이프로젠바이오로직스,351,-1.4,"2,056","1,596,505"
GS글로벌,"2,485",-1.58,"2,051","315,723"
태림포장,"2,890",-1.03,"2,046","26,902"
대원강업,"3,295",-1.64,"2,043","30,003"
TIGER KRX BBIG K-뉴딜,"6,855",-1.72,"2,043","114,169"
쎌마테라퓨틱스,"6,410",0,"2,032",-
삼성전기우,"69,800",0.58,"2,029","3,706"
KODEX 국고채3년,"56,825",-0.31,"2,020",416
TIGER Fn메타버스,"8,340",-0.24,"2,018","306,148"
S-Oil우,"50,100",-1.38,"2,015","8,373"
ARIRANG 코스피TR,"12,610",-1.25,"2,005","23,549"
일진홀딩스,"4,060",-1.46,"2,004","64,854"
KBSTAR 200TR,"16,760",-1.44,"1,986","6,704"
한신기계,"6,110",-1.29,"1,982","141,500"
ACE 단기통안채,"100,715",0.01,"1,982","24,746"
KBSTAR 국고채3년선물인버스,"105,905",0.21,"1,963",3
제일파마홀딩스,"12,220",-1.37,"1,952","6,416"
진흥기업,"1,335",-1.18,"1,942","308,988"
해태제과식품,"6,650",-2.21,"1,936","9,051"
제이에스코퍼레이션,"14,490",-0.07,"1,932","16,491"
에이블씨엔씨,"7,150",-1.24,"1,933","28,273"
한세예스24홀딩스,"4,795",-2.14,"1,918","16,221"
TRUE 인버스 2X 천연가스 선물 ETN(H),"1,305",-10,"1,931","1,174,630"
JW생명과학,"12,100",-1.06,"1,916","9,373"
LS네트웍스,"2,425",-1.22,"1,911","27,764"
KODEX 골드선물(H),"11,850",-1,"1,908","101,397"
STX중공업,"6,690",3.56,"1,910","251,132"
대성산업,"4,185",-1.41,"1,893","78,823"
한솔테크닉스,"5,870",-0.68,"1,885","22,136"
삼영전자,"9,410",0.11,"1,882","17,928"
TIGER 차이나과창판STAR50(합성),"7,465",-0.07,"1,877","38,668"
서연,"7,990",-1.84,"1,876","149,536"
예스코홀딩스,"31,000",-0.96,"1,860","3,398"
유수홀딩스,"7,110",0,"1,852","20,263"
TIGER 중장기국채,"48,200",-0.4,"1,851","4,462"
만호제강,"44,500",-0.67,"1,847","6,042"
경인양행,"4,430",-1.56,"1,844","26,596"
LG우,"60,800",-0.98,"1,837","2,604"
코람코더원리츠,"4,540",-1.73,"1,834","15,787"
세아특수강,"21,350",24.78,"1,830","2,093,541"
태경산업,"6,250",-1.88,"1,827","36,359"
신세계푸드,"46,950",-1.57,"1,818","3,723"
KTcs,"4,245",3.54,"1,812","2,594,956"
일진전기,"4,875",-0.91,"1,808","54,094"
동아지질,"12,850",-0.54,"1,806","9,167"
삼성제약,"2,680",-1.11,"1,800","69,576"
DB금융투자,"4,225",0,"1,793","18,012"
현대리바트,"8,730",-0.8,"1,793","11,772"
아남전자,"2,320",-1.9,"1,789","700,512"
이지스밸류리츠,"4,855",-2.9,"1,784","16,711"
진양홀딩스,"3,180",0.16,"1,777","10,282"
신라교역,"11,080",0.18,"1,773","7,888"
아시아나IDT,"15,950",-1.18,"1,770","14,771"
동남합성,"49,000",0,"1,769",887
ARIRANG 고배당주,"12,130",-0.16,"1,765","26,903"
KBSTAR KIS국고채30년Enhanced,"70,955",-0.94,"1,745","37,980"
대한화섬,"131,300",0.69,"1,744",424
현대비앤지스틸,"11,500",0.35,"1,734","47,295"
세종공업,"6,230",-0.8,"1,733","97,393"
삼성 레버리지 천연가스 선물 ETN B,"2,635",10.71,"1,713","4,878,296"
계룡건설,"19,140",-1.85,"1,709","13,715"
우진,"8,410",-1.29,"1,709","91,203"
ACE 베트남VN30(합성),"16,175",-1.1,"1,698","151,873"
금강공업,"5,800",-0.85,"1,701","47,682"
ACE 중국본토CSI300,"27,370",0.5,"1,691",751
TIGER 여행레저,"4,225",-0.47,"1,685","412,052"
KOSEF 단기자금,"101,865",0,"1,679","2,987"
동성제약,"6,390",-0.78,"1,668","23,426"
NI스틸,"5,830",-0.85,"1,667","107,009"
금호에이치티,850,-0.23,"1,667","211,696"
동아타이어,"12,110",0.33,"1,663","12,392"
HANARO MSCI Korea TR,"13,160",-1.53,"1,658",32
NH투자증권우,"8,760",-0.79,"1,653","21,376"
휴비스,"4,790",-1.14,"1,653","18,946"
태영건설,"4,235",-1.4,"1,647","120,185"
한컴라이프케어,"5,940",2.06,"1,644","100,977"
대영포장,"1,519",-0.33,"1,647","61,433"
효성ITX,"14,220",0.07,"1,644","4,988"
한국주철관,"7,180",0.56,"1,637","14,750"
한국패러랠,"2,045",1.24,"1,636","6,654"
경보제약,"6,830",-0.73,"1,633","24,083"
삼성물산우B,"100,300",0,"1,632","2,358"
KODEX 미국나스닥100레버리지(합성 H),"4,615",-2.33,"1,620","341,261"
동부건설,"7,080",-0.98,"1,620","52,847"
한농화성,"10,260",-1.44,"1,604","31,208"
일동홀딩스,"13,890",-1.98,"1,603","85,464"
용평리조트,"3,325",-1.34,"1,600","24,582"
KBSTAR iSelect메타버스,"7,360",-1.21,"1,591","79,608"
수산중공업,"2,945",-2,"1,590","415,647"
인스코비,"1,414",-0.84,"1,584","148,730"
TIGER 글로벌4차산업혁신기술(합성 H),"14,875",-1.29,"1,583","7,546"
디씨엠,"13,830",-0.86,"1,577","11,073"
KODEX TRF3070,"11,025",0.05,"1,577","13,449"
삼화페인트,"5,790",-2.2,"1,575","23,637"
퍼스텍,"3,270",-1.8,"1,572","393,769"
벽산,"2,290",-1.08,"1,570","84,430"
노루페인트,"7,830",-1.01,"1,566","18,627"
신원,"1,526",-2.12,"1,565","236,568"
무학,"5,450",-1.8,"1,553","77,277"
KBSTAR IT플러스,"16,290",-1.03,"1,551","1,658"
HANARO 200TR,"38,720",-1.46,"1,549",71
현대약품,"4,835",-1.53,"1,547","137,432"
TIGER 글로벌메타버스액티브,"6,345",-0.63,"1,539","40,120"
삼양통상,"50,800",0.2,"1,524","1,588"
ACE 23-12 회사채(AA-이상)액티브,"102,590",-0.01,"1,521","71,649"
KODEX 23-12 국고채액티브,"10,110",-0.05,"1,521","1,324"
KODEX 장기종합채권(AA-이상)액티브KAP,"87,100",-0.19,"1,520",5
디와이,"5,700",-1.72,"1,500","41,175"
컨버즈,"4,100",0,"1,509",-
신일전자,"2,120",0,"1,506","383,376"
NH올원리츠,"3,560",-1.11,"1,502","21,452"
STX,"5,240",-1.13,"1,500","689,238"
KTis,"4,295",1.66,"1,495","1,614,223"
신한 블룸버그 -2X 천연가스 선물 ETN(H),"59,240",-9.87,"1,481","5,531"
TIGER 200선물인버스2X,"3,160",3.1,"1,485","5,711,780"
태경케미컬,"12,720",0.87,"1,476","17,920"
KB 블룸버그 인버스2X 천연가스선물 ETN(H),"58,965",-10.87,"1,474","2,376"
미래에셋 S&P -2X 천연가스 선물 ETN(H),"58,440",-9.39,"1,461",24
성창기업지주,"2,090",-1.42,"1,458","115,267"
디아이,"5,150",-1.9,"1,457","23,909"
한솔홀딩스,"3,465",-0.72,"1,456","48,134"
태경비케이,"5,260",-1.13,"1,451","161,734"
SNT에너지,"19,330",0,"1,451","19,168"
KODEX 미국달러선물,"11,865",1.15,"1,450","203,835"
센트랄모텍,"16,760",3.52,"1,443","127,821"
팜스코,"3,895",-2.14,"1,431","48,598"
샘표,"49,500",-0.4,"1,424","4,510"
샘표식품,"31,150",-0.16,"1,423","3,559"
KODEX 차이나항셍테크,"5,775",-1.45,"1,421","427,497"
디아이씨,"3,650",-1.08,"1,419","45,303"
미원화학,"64,200",0,"1,412",131
강남제비스코,"21,600",0,"1,404","1,044"
신흥,"14,760",-0.27,"1,402","1,949"
TIGER 미국MSCI리츠(합성 H),"12,470",-0.91,"1,390","18,124"
경동도시가스,"23,500",-1.26,"1,385","7,919"
한국석유,"10,780",0,"1,368","31,468"
한국수출포장,"34,150",-2.29,"1,366","16,531"
한국공항,"42,900",0.47,"1,358","4,525"
조흥,"226,000",1.8,"1,356",67
한국화장품제조,"29,750",-1.33,"1,348","22,363"
노루홀딩스,"10,120",-0.49,"1,345","2,904"
일성건설,"2,480",-1,"1,340","97,552"
종근당바이오,"24,300",-1.82,"1,333","7,448"
KCTC,"4,430",-1.56,"1,329","53,360"
두산퓨얼셀1우,"9,930",-1,"1,327","8,626"
광전자,"2,280",-2.36,"1,321","46,153"
TIGER 투자등급회사채액티브,"102,235",-0.22,"1,319",409
TIGER 반도체,"26,575",-2.21,"1,313","21,083"
사조동아원,928,-2.42,"1,310","473,285"
황금에스티,"7,710",1.45,"1,311","141,301"
디와이파워,"11,850",-1.66,"1,308","23,931"
HDC현대EP,"4,090",-0.85,"1,305","9,394"
한국화장품,"8,050",-0.98,"1,293","20,303"
TIGER 중국소비테마,"7,165",-1.17,"1,290","27,630"
TRUE 코스피 양매도 5% OTM ETN,"8,550",0,"1,283",-
한국특강,"2,115",-1.63,"1,281","13,916"
웅진,"1,603",-4.13,"1,281","807,339"
TIGER 23-12 국공채액티브,"202,390",-0.06,"1,271",71
유화증권,"2,240",0,"1,270","10,970"
TIGER 현대차그룹+펀더멘털,"22,275",-1.11,"1,270","5,645"
TIGER 헬스케어,"24,990",-1.71,"1,269","12,740"
조선선재,"100,700",-0.59,"1,266","2,818"
극동유화,"3,575",-0.83,"1,247","58,191"
미창석유,"71,300",-0.56,"1,240",172
KODEX 미국채울트라30년선물(H),"8,665",-1.14,"1,239","378,026"
미래에셋 코스피 양매도 5% OTM ETN,"8,250",0,"1,238",-
CJ씨푸드,"3,410",-1.59,"1,225","105,165"
유니온머티리얼,"2,895",-1.53,"1,216","788,293"
동방,"2,530",-1.56,"1,214","133,769"
ARIRANG 국고채30년액티브,"95,400",0.12,"1,209",32
SK이노베이션우,"96,700",-1.43,"1,207","3,113"
동양철관,"1,015",-0.98,"1,207","201,392"
한국내화,"2,915",-0.85,"1,197","27,507"
KODEX 배당가치,"11,915",-1.16,"1,192",777
대신증권2우B,"11,870",-0.75,"1,187","5,536"
인천도시가스,"27,000",0.93,"1,181","2,395"
TIGER 코스닥150,"11,530",0.35,"1,181","21,796"
삼익악기,"1,297",-0.54,"1,174","78,233"
TIGER 미디어컨텐츠,"7,490",0.2,"1,168","79,387"
KBSTAR 코스닥150,"11,165",0.4,"1,166","85,614"
세이브존I&C,"2,840",0.71,"1,166","20,315"
KBSTAR 국채선물5년추종인버스,"54,465",0.46,"1,163",4
대창,"1,275",-1.7,"1,162","181,875"
TIGER 종합채권(AA-이상)액티브,"49,500",-0.36,"1,151",289
한진중공업홀딩스,"3,895",-1.89,"1,150","14,756"
삼원강재,"2,875",-0.69,"1,150","8,436"
한양증권,"9,000",-0.66,"1,146","5,566"
이지스레지던스리츠,"4,015",0.12,"1,139","6,956"
CJ우,"49,850",-0.5,"1,127",82
미래에셋글로벌리츠,"3,860",0,"1,122","11,892"
인지컨트롤스,"7,080",-1.67,"1,119","83,256"
KODEX 미국나스닥100선물(H),"14,835",-1.2,"1,113","61,786"
기신정기,"3,795",1.07,"1,108","27,801"
크라운제과,"8,830",-0.34,"1,106","13,016"
삼일제약,"7,960",0,"1,092","185,300"
한화솔루션우,"38,050",0,"1,090",-
TRUE 블룸버그 인버스 2X 천연가스선물 ETN,"54,750",-8.88,"1,095","2,130"
깨끗한나라,"2,920",0.52,"1,087","63,742"
KBSTAR 25-11 회사채(AA-이상)액티브,"52,375",-0.29,"1,087","7,243"
SG세계물산,536,-0.56,"1,085","246,433"
KH 필룩스,566,-3.58,"1,079","1,783,418"
KTOP K200액티브,"9,715",-1.57,"1,078","53,637"
모나리자,"2,940",-0.84,"1,075","57,967"
KODEX 차이나CSI300,"12,435",0.16,"1,076","14,144"
대구백화점,"9,910",0.81,"1,072",52
키움 INDXX 미국테크탑10 ETN,"10,595",0,"1,060",-
크라운해태홀딩스,"7,100",-1.39,"1,054","10,494"
에이플러스에셋,"4,650",-1.69,"1,051","24,418"
인바이오젠,745,-2.61,"1,050","242,788"
유유제약,"6,080",-0.49,"1,048","61,510"
대양금속,"3,130",-2.34,"1,044","283,944"
대유플러스,861,-0.92,"1,042","785,181"
KODEX 삼성그룹밸류,"8,760",-1.18,"1,042","2,010"
KODEX ESG종합채권(A-이상)액티브,"102,590",0,"1,040",-
HL D&I,"2,740",-1.44,"1,037","35,065"
화성산업,"10,160",-2.96,"1,031","18,815"
고려산업,"4,130",-2.13,"1,030","518,172"
지투알,"6,220",0.65,"1,030","49,232"
마스턴프리미어리츠,"3,870",-0.51,"1,029","8,298"
삼영화학,"3,015",-0.5,"1,025","171,012"
토니모리,"4,260",-1.84,"1,025","40,416"
가온전선,"16,100",-1.41,"1,024","11,682"
삼화전기,"15,460",-2.15,"1,022","7,136"
히어로즈 단기채권ESG액티브,"101,185",0,"1,022",-
와이투솔루션,641,-3.75,"1,021","682,801"
보락,"1,699",0.35,"1,018","288,006"
엔에이치스팩19호,"1,984",-0.05,"1,018","68,382"
이구산업,"3,040",-1.94,"1,017","207,746"
무림페이퍼,"2,425",-1.42,"1,009","85,115"
현대코퍼레이션홀딩스,"10,960",-0.81,997,"12,726"
한신공영,"8,620",-2.49,997,"30,783"
팜젠사이언스,"6,300",-1.72,997,"46,746"
TIGER 미국채10년선물,"11,460",0.66,997,"65,402"
광명전기,"2,305",-1.28,999,"166,446"
신영와코루,"11,020",-1.78,992,"1,344"
세원이앤씨,459,1.55,991,"2,172,961"
플레이그램,820,0.74,977,"243,108"
대동전자,"9,300",-0.11,976,"11,168"
TRUE 레버리지 S&P500 선물 ETN(H),"19,495",-1.71,975,132
KODEX 미국S&P500선물(H),"18,915",-0.81,974,"9,121"
남광토건,"9,880",-1.5,971,"18,497"
대현,"2,190",-1.13,970,"94,954"
써니전자,"2,780",0.72,969,"771,246"
일신석재,"1,248",-2.19,967,"299,081"
콤텍시스템,796,-3.4,964,"1,388,634"
대원화성,"2,335",-1.68,963,"80,566"
이아이디,823,-2.02,952,"174,038"
조광페인트,"7,380",-1.86,945,"30,616"
사조씨푸드,"5,470",-2.15,942,"50,024"
동일고무벨트,"6,750",-2.6,938,"16,750"
ACE 국고채10년,"85,820",-0.68,937,"1,137"
SH에너지화학,841,-2.21,935,"380,399"
삼호개발,"3,745",-0.27,936,"5,957"
새론오토모티브,"4,860",-0.21,933,"1,808"
국제약품,"4,570",-2.56,923,"61,678"
아모레G우,"14,380",-1.84,927,"6,697"
DSR,"5,760",-2.37,922,"44,372"
하이스틸,"4,555",1,920,"605,447"
삼성공조,"11,280",1.99,917,"390,662"
금비,"92,000",0,920,"3,858"
명문제약,"2,700",-2.17,917,"61,722"
TRUE 레버리지 나스닥 100 ETN,"18,365",-1.32,918,"10,009"
SK우,"162,000",-1.04,917,"1,023"
지엠비코리아,"4,800",-2.93,915,"11,282"
두올,"2,760",-0.72,913,"55,833"
인팩,"9,160",-4.78,916,"77,175"
유니켐,"1,225",1.24,909,"156,839"
다스코,"4,655",-2,903,"84,375"
제일연마,"9,030",-0.77,903,"3,913"
보해양조,648,-2.11,901,"160,197"
남성,"2,470",-1.98,894,"130,751"
텔코웨어,"9,210",-0.43,894,"1,337"
유니온,"5,720",-0.69,893,"284,674"
KBSTAR 코스닥150선물레버리지,"8,825",0.4,890,"9,320"
한솔홈데코,"1,103",-0.9,889,"181,941"
동방아그로,"6,520",-0.76,888,"5,427"
혜인,"6,970",-1.27,886,"245,953"
DRB동일,"4,440",-1.66,885,"8,802"
KBSTAR Fn5G테크,"8,230",-0.96,885,"4,229"
상상인증권,815,-0.61,883,"49,536"
솔루스첨단소재1우,"10,430",-3.25,882,"28,149"
ACE 24-12 회사채(AA-이상)액티브,"104,255",-0.08,873,651
카프로,"2,175",6.1,870,"858,556"
유니드비티플러스,"8,170",-2.04,867,"91,533"
쌍방울,328,0.92,861,"1,724,824"
TIGER 미국다우존스30,"21,405",0.09,865,"7,081"
조비,"16,590",-0.72,861,"8,897"
휴니드,"6,080",-1.46,858,"81,290"
KBSTAR 단기국공채액티브,"104,210",-0.02,858,"13,360"
신세계건설,"21,250",-4.28,850,"31,415"
KBSTAR 2차전지액티브,"10,750",1.32,856,"173,927"
시디즈,"42,750",-0.81,855,"2,128"
마니커,"1,340",1.36,851,"158,171"
KODEX 미국메타버스나스닥액티브,"6,455",-0.39,849,"24,593"
한국프랜지,"2,770",-1.95,843,"92,176"
범양건영,"3,400",-2.44,844,"147,698"
유엔젤,"6,390",1.43,843,"1,809,443"
화승코퍼레이션,"1,682",-0.36,842,"40,521"
한일철강,"3,145",-0.47,840,"25,155"
ACE G2전기차&자율주행액티브,"8,920",-1.05,838,"10,482"
코스맥스비티아이,"8,710",-1.02,837,"4,044"
태평양물산,"1,719",-3.37,836,"325,631"
큐로,362,0.28,837,"167,815"
DSR제강,"5,790",-1.86,834,"60,502"
덕양산업,"2,560",-2.48,834,"14,822"
TIGER 200 건설,"2,795",-0.71,831,"45,733"
TIGER 200 건설,"2,795",-0.71,831,"45,733"
천일고속,"58,100",-1.19,830,474
신풍제약우,"37,700",-3.33,829,"4,360"
신송홀딩스,"7,000",-0.14,828,"87,722"
한창제지,"1,386",-2.19,827,"111,301"
메타랩스,"3,320",0,827,"36,683"
신한 인버스 2X WTI원유 선물 ETN(H),130,0,823,"1,057,860"
대유에이텍,713,-1.79,823,"132,349"
KBSTAR 미국단기투자등급회사채액티브,"9,970",0.81,823,"10,650"
한세엠케이,"2,715",0.93,817,"7,761"
영흥,803,-0.86,814,"50,287"
인디에프,"1,149",2.77,812,"548,241"
비상교육,"6,250",-0.95,812,"8,533"
삼화왕관,"37,700",0.4,812,"1,778"
NH프라임리츠,"4,350",0.46,812,"3,591"
이건산업,"7,380",-2.25,808,"58,074"
국동,"1,392",-3,792,"173,870"
인터지스,"2,660",-2.21,791,"91,359"
오리엔트바이오,668,-0.74,792,"239,454"
덕성,"5,040",-0.79,790,"32,850"
진양산업,"6,070",-1.3,789,"58,123"
대원전선,"1,095",-1.71,788,"245,756"
호전실업,"8,070",-2.77,787,"38,552"
SK케미칼우,"37,100",-1.33,785,"3,468"
한솔로지스틱스,"2,855",-2.23,784,"88,427"
부산산업,"73,600",0,777,"1,844"
우진플라임,"3,880",-1.9,776,"17,649"
서울식품,207,0,776,"525,247"
사조오양,"8,210",-0.97,774,"7,128"
ACE 미국WideMoat가치주,"18,845",0.03,773,"21,930"
까뮤이앤씨,"1,694",-2.19,765,"129,820"
TIGER 200선물레버리지,"11,075",-2.98,764,"209,152"
KODEX 은선물(H),"4,060",-3.33,763,"284,350"
두산2우B,"84,600",3.68,756,"12,202"
IHQ,322,-2.42,754,"667,263"
화천기공,"34,200",0,752,"5,202"
전방,"44,700",-1.32,751,"2,561"
미래에셋맵스리츠,"3,740",0,752,"5,185"
KODEX WTI원유선물(H),"13,855",0.11,752,"68,214"
문배철강,"3,645",2.39,747,"256,105"
유성기업,"2,880",-0.69,747,"23,051"
화승알앤에이,"3,920",0.26,745,"40,758"
KOSEF 인도Nifty50(합성),"18,160",0.28,745,"22,433"
CS홀딩스,"63,500",-1.24,733,881
ARIRANG 신흥국MSCI(합성 H),"8,850",-1.39,733,"24,140"
영보화학,"3,645",-1.49,729,"7,565"
KBSTAR 고배당,"11,535",-0.86,727,"15,757"
KODEX 국고채30년액티브,"98,105",-1.01,726,"3,396"
부국철강,"3,595",2.42,719,"292,657"
대호에이엘,"1,390",-0.22,723,"127,700"
세하,"1,255",2.87,722,"129,605"
우성,"23,450",-0.85,725,"1,742"
TIGER KRX바이오K-뉴딜,"5,440",-1.72,721,"191,119"
상신브레이크,"3,350",-1.47,719,"21,780"
세원정공,"7,150",-0.42,715,"7,024"
대우부품,"1,497",-1.06,713,"31,327"
HANARO 200 TOP10,"7,925",-1.43,713,156
삼일씨엔에스,"5,600",-2.44,713,"13,729"
엔케이,891,-0.78,713,"54,988"
한국종합기술,"6,490",-1.52,711,"37,357"
KODEX 미국반도체MV,"10,830",-0.32,709,"28,542"
KODEX K-신재생에너지액티브,"11,720",0.82,709,"64,332"
웰바이오텍,"1,054",-1.5,700,"229,233"
삼성 인버스 2X 코스닥150 선물 ETN,"13,955",-0.29,698,"1,202,250"
KODEX Fn Top10동일가중,"7,550",-1.31,695,"32,504"
KODEX 미국종합채권SRI액티브(H),"95,375",-0.51,694,"1,012"
TIGER Fn반도체TOP10,"7,410",-1.85,693,"187,090"
KODEX 차이나2차전지MSCI(합성),"8,215",-1.32,690,"35,795"
TIGER 경기방어,"8,740",-1.58,689,"4,431"
SOL 미국배당다우존스,"9,705",0.73,689,"554,355"
티에이치엔,"3,815",-0.91,687,"58,326"
TIGER 소프트웨어,"9,630",-1.38,684,"40,529"
성보화학,"3,415",-1.3,684,"14,828"
SJM,"4,370",-2.89,682,"31,174"
핸즈코퍼레이션,"3,125",-0.32,683,"3,209"
KBSTAR 중국본토대형주CSI100,"18,400",0.38,681,843
KODEX 차이나과창판STAR50(합성),"7,560",-0.66,680,114
ACE 미국고배당S&P,"10,785",0.61,679,"16,400"
KC그린홀딩스,"3,015",-1.79,676,"50,239"
국보,638,-2.3,677,"560,813"
TIGER 차이나CSI300레버리지(합성),"20,995",0,676,"7,526"
아센디오,794,-4.45,672,"202,376"
티웨이홀딩스,613,-2.23,671,"228,114"
KODEX 한국대만IT프리미어,"17,120",-0.7,668,"1,244"
한창,840,0.48,667,"402,608"
미래산업,"14,550",-1.89,666,"84,858"
HANARO e커머스,"12,090",-1.06,665,"1,156"
모나미,"3,515",-1.26,664,"91,837"
신한 WTI원유 선물 ETN(H),"6,635",0.84,664,"1,612"
TRUE S&P500 선물 ETN,"13,235",0.42,662,2
KODEX Fn성장,"13,220",-1.05,661,22
평화산업,"1,203",-1.15,660,"72,866"
동양피스톤,"5,020",-1.95,661,"27,564"
파워 200,"32,125",-1.38,659,29
코오롱인더우,"23,700",-1.86,656,"2,653"
우신시스템,"3,580",-0.42,656,"59,195"
화천기계,"2,975",0.68,655,"137,952"
TIGER 화장품,"2,350",-1.67,637,"325,879"
TIGER 200 중공업,"2,990",-1.32,636,"134,461"
TIGER 국채3년,"105,985",-0.28,636,231
SG글로벌,"1,411",-0.7,634,"48,893"
한익스프레스,"5,280",1.73,634,"33,581"
삼정펄프,"25,250",-1.37,631,583
미래아이앤지,451,1.12,629,"4,082,964"
계양전기,"2,300",-0.43,626,"25,833"
GS우,"35,050",-0.14,626,"4,305"
TIGER 미국S&P500레버리지(합성 H),"23,665",-1.58,625,"7,625"
화인베스틸,"2,090",-2.79,622,"35,144"
유한양행우,"52,600",0.19,621,299
에이엔피,"1,530",2.27,621,"155,572"
신한 레버리지 코스닥 150 선물 ETN,"24,830",-1.88,621,2
KC코트렐,"1,787",0.85,618,"163,516"
KODEX 국채선물10년,"63,100",-0.63,610,"2,847"
대림B&Co,"3,655",-2.66,609,"13,634"
서원,"1,283",-1.91,609,"68,083"
TRUE 인버스 2X 나스닥 100 ETN,"2,015",3.33,605,"788,036"
미래에셋 전기전자 Core5 ETN,"30,115",0,602,-
케이비아이동국실업,596,-1,598,"33,190"
신한 레버리지 은 선물 ETN(H),"5,950",-7.25,595,"71,963"
TRUE 나스닥 100 ETN,"11,915",-0.42,596,2
신한 레버리지 은 선물 ETN(H),"5,950",-7.25,595,"71,963"
KODEX 차이나A50,"19,755",-0.03,593,756
TIGER 차이나HSCEI,"9,235",-0.43,591,"4,436"
일진디스플,"1,145",-2.3,590,"98,850"
하나 블룸버그 -2X 천연가스 선물 ETN(H),"58,910",-10.74,589,"1,038"
KBSTAR Fn컨택트대표,"8,320",-0.78,589,"1,107"
KB Wise 분할매매 ETN,"9,810",0,589,-
페이퍼코리아,"1,235",-2.37,587,"159,945"
메리츠 블룸버그 -2X 천연가스 선물 ETN(H),"58,545",-11.28,585,847
ARIRANG 미국S&P500(H),"16,725",-0.89,585,"9,214"
KBSTAR 금융채액티브,"100,845",-0.24,580,17
남양유업우,"345,000",-1.15,575,796
TIGER 차이나바이오테크SOLACTIVE,"7,600",0.53,572,"14,199"
TIGER 인버스,"5,435",1.59,571,"1,922,373"
대림통상,"3,740",-3.61,569,"6,417"
TIMEFOLIO Kstock액티브,"8,130",-1.09,569,"1,626"
KBSTAR 중기우량회사채,"103,800",-0.07,569,29
KODEX 미국달러선물레버리지,"12,460",2.17,568,"396,900"
